epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,225.722,1.52303,1.51203,1.56597,0.67369,0.6116,0.65988,0.40794,1.41335,1.30755,1.48526,0.00123271,0.00123271,0.00123271
113,227.662,1.51495,1.4872,1.53969,0.62301,0.58798,0.64041,0.38177,1.47576,1.3995,1.56442,0.00123094,0.00123094,0.00123094
114,229.591,1.52503,1.50351,1.56671,0.64,0.64227,0.65521,0.39345,1.43193,1.31119,1.52836,0.00122917,0.00122917,0.00122917
115,231.663,1.5413,1.53255,1.56404,0.6509,0.59725,0.62925,0.38228,1.41984,1.38405,1.49907,0.0012274,0.0012274,0.0012274
116,233.579,1.53502,1.53199,1.56101,0.6607,0.61791,0.66104,0.3922,1.40905,1.28017,1.50782,0.00122564,0.00122564,0.00122564
117,235.502,1.50321,1.47557,1.53936,0.61137,0.5889,0.61587,0.36398,1.43685,1.38973,1.51576,0.00122387,0.00122387,0.00122387
118,237.427,1.50766,1.48225,1.53883,0.62508,0.62084,0.64583,0.38444,1.42135,1.3085,1.48874,0.0012221,0.0012221,0.0012221
119,239.496,1.46735,1.45621,1.50754,0.60363,0.61615,0.62408,0.38011,1.38861,1.31057,1.46123,0.00122033,0.00122033,0.00122033
120,241.425,1.51999,1.50862,1.51908,0.51535,0.51642,0.50189,0.28249,1.56744,1.65138,1.60606,0.00121856,0.00121856,0.00121856
121,243.335,1.54368,1.52576,1.54218,0.62143,0.59133,0.62248,0.3664,1.48846,1.37624,1.54596,0.00121679,0.00121679,0.00121679
122,245.263,1.51022,1.47417,1.53178,0.56147,0.54812,0.52264,0.29392,1.60028,1.57649,1.64102,0.00121503,0.00121503,0.00121503
123,247.184,1.45996,1.45653,1.50938,0.63717,0.68741,0.67618,0.41104,1.37093,1.28261,1.47429,0.00121326,0.00121326,0.00121326
124,249.116,1.46621,1.45118,1.49921,0.60371,0.62172,0.61718,0.36624,1.45767,1.33197,1.54479,0.00121149,0.00121149,0.00121149
125,251.192,1.48637,1.44869,1.51994,0.64739,0.60715,0.64226,0.39356,1.40304,1.3657,1.49545,0.00120972,0.00120972,0.00120972
126,253.115,1.44677,1.41915,1.4873,0.60718,0.61313,0.61055,0.37778,1.40343,1.36067,1.48839,0.00120795,0.00120795,0.00120795
127,255.038,1.48419,1.47224,1.49681,0.62596,0.58456,0.62053,0.3697,1.47604,1.40404,1.55608,0.00120618,0.00120618,0.00120618
128,256.954,1.44864,1.38792,1.49702,0.62109,0.65656,0.6646,0.39469,1.4385,1.29726,1.51499,0.00120441,0.00120441,0.00120441
129,258.899,1.46709,1.43443,1.51933,0.63072,0.58033,0.61342,0.35886,1.45088,1.39702,1.52965,0.00120265,0.00120265,0.00120265
130,260.847,1.46907,1.41993,1.50371,0.6452,0.63677,0.67449,0.40396,1.39922,1.35701,1.4922,0.00120088,0.00120088,0.00120088
131,262.777,1.46762,1.44396,1.50309,0.54667,0.63711,0.5888,0.3589,1.45577,1.41699,1.53049,0.00119911,0.00119911,0.00119911
132,264.7,1.46112,1.40259,1.49824,0.6226,0.51538,0.56629,0.3253,1.52084,1.44937,1.59362,0.00119734,0.00119734,0.00119734
133,266.636,1.4719,1.39934,1.5012,0.6861,0.62146,0.67257,0.40619,1.41658,1.32096,1.49671,0.00119557,0.00119557,0.00119557
134,268.755,1.46812,1.42619,1.49468,0.5975,0.6292,0.6169,0.38325,1.38635,1.35841,1.48415,0.0011938,0.0011938,0.0011938
135,270.704,1.48406,1.43224,1.48345,0.61022,0.59322,0.61229,0.36177,1.51683,1.42165,1.55873,0.00119204,0.00119204,0.00119204
136,272.629,1.46705,1.41061,1.47563,0.5901,0.57066,0.59367,0.35355,1.44378,1.39227,1.52054,0.00119027,0.00119027,0.00119027
137,274.537,1.45581,1.41035,1.47404,0.62898,0.67989,0.70185,0.43034,1.34089,1.23135,1.44696,0.0011885,0.0011885,0.0011885
138,276.456,1.45732,1.39559,1.48099,0.65302,0.6198,0.65979,0.39274,1.36985,1.26934,1.46859,0.00118673,0.00118673,0.00118673
